resolvers       > globbing > confusing filename, name: 'LIESMICH.txt', lower: 'liesmich.txt', already: 'Liesmich.txt'

resolvers       > globbing > confusing filename, name: 'NEWS', lower: 'news', already: 'News'

resolvers       > globbing > confusing filename, name: 'CHANGEs.txt', lower: 'changes.txt', already: 'Changes.txt'

resolvers       > globbing > confusing filename, name: 'SRCFILEs.txt', lower: 'srcfiles.txt', already: 'SrcFILEs.txt'

resolvers       > globbing > confusing filename, name: 'License', lower: 'license', already: 'LICENSE'

resolvers       > globbing > confusing filename, name: 'License', lower: 'license', already: 'LICENSE'

resolvers       > globbing > confusing filename, name: 'License', lower: 'license', already: 'LICENSE'

resolvers       > globbing > confusing filename, name: 'Copyright', lower: 'copyright', already: 'COPYRIGHT'

resolvers       > globbing > confusing filename, name: 'License.txt', lower: 'license.txt', already: 'LICENSE.txt'

resolvers       > globbing > confusing filename, name: 'ChangeLog.md', lower: 'changelog.md', already: 'CHANGELOG.md'

resolvers       > globbing > confusing filename, name: 'Contributing.md', lower: 'contributing.md', already: 'CONTRIBUTING.md'

resolvers       > globbing > confusing filename, name: 'CHANGELOG', lower: 'changelog', already: 'ChangeLog'

resolvers       > globbing > confusing filename, name: 'ANNOUNCE', lower: 'announce', already: 'Announce'

resolvers       > globbing > confusing filename, name: 'CHANGELOG', lower: 'changelog', already: 'ChangeLog'

resolvers       > globbing > confusing filename, name: 'README.1st', lower: 'readme.1st', already: 'README.1ST'

resolvers       > globbing > confusing filename, name: 'CHANGELOG', lower: 'changelog', already: 'ChangeLog'

resolvers       > globbing > confusing filename, name: 'ANNOUNCE.txt', lower: 'announce.txt', already: 'Announce.txt'

resolvers       > globbing > confusing filename, name: 'License', lower: 'license', already: 'LICENSE'

resolvers       > globbing > confusing filename, name: 'License.txt', lower: 'license.txt', already: 'LICENSE.txt'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

